Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
272,Marko Guduric\gudurma01,SG,24,MEM,42,0,476,61,154,.396,25,81,.309,36,73,.493,.477,23,25,.920,14,57,71,45,12,8,36,34,170
273,Kelan Martin\martike03,SF,24,MIN,31,4,495,71,181,.392,25,96,.260,46,85,.541,.461,30,31,.968,12,84,96,23,7,9,20,51,197
274,Elie Okobo\okoboel01,PG,22,PHO,54,3,707,72,181,.398,25,71,.352,47,110,.427,.467,46,67,.687,16,72,88,113,24,4,38,53,215
275,Kenrich Williams\willike04,PF,25,NOP,36,18,791,49,143,.343,25,96,.260,24,47,.511,.430,9,26,.346,49,130,179,54,25,21,21,81,132
276,Luguentz Dort\dortlu01,SG,20,OKC,31,23,704,70,178,.393,24,84,.286,46,94,.489,.461,31,40,.775,18,41,59,23,27,3,18,85,195
277,Jake Layman\laymaja01,PF,25,MIN,23,2,505,81,179,.453,24,72,.333,57,107,.533,.520,24,32,.750,17,40,57,15,17,10,24,47,210
278,Victor Oladipo\oladivi01,SG,27,IND,15,12,396,73,183,.399,24,79,.304,49,104,.471,.464,37,47,.787,9,44,53,43,14,3,32,26,207
279,Otto Porter\porteot01,SF,26,CHI,14,9,331,62,140,.443,24,62,.387,38,78,.487,.529,19,27,.704,13,35,48,25,15,6,11,31,167
280,Isaac Bonga\bongais01,SF,20,WAS,61,44,1109,102,200,.510,23,60,.383,79,140,.564,.568,60,74,.811,63,135,198,66,41,21,46,143,287
281,Josh Jackson\jacksjo02,SG,22,MEM,20,0,375,70,159,.440,23,72,.319,47,87,.540,.513,33,48,.688,11,53,64,34,18,9,26,40,196
282,Patrick McCaw\mccawpa01,SF,24,TOR,37,12,908,67,162,.414,23,71,.324,44,91,.484,.485,13,18,.722,19,67,86,79,39,4,29,60,170
283,Moritz Wagner\wagnemo01,C,22,WAS,40,5,747,135,241,.560,23,69,.333,112,172,.651,.608,68,84,.810,54,146,200,51,25,19,60,141,361
284,Michael Carter-Williams\cartemi01,SG,28,ORL,45,0,833,111,260,.427,22,75,.293,89,185,.481,.469,79,95,.832,46,101,147,109,49,22,52,87,323
285,Chris Chiozza\chiozch01,PG,24,TOT,24,1,319,43,106,.406,22,57,.386,21,49,.429,.509,2,2,1.000,7,34,41,67,16,2,24,32,110
286,Dewayne Dedmon\dedmode01,C,30,TOT,44,18,774,102,255,.400,22,107,.206,80,148,.541,.443,30,36,.833,60,189,249,22,25,41,57,133,256
